Location,Area_sqft,Bedrooms,Bathrooms,Floors,Material_Quality,Interior_Type,Parking,Balcony,Garden,Material_Cost,Labour_Cost,Finishing_Cost,Total_Cost
Parawada,1800,3,2,1,Standard,Normal,Yes,No,No,1892000,860000,688000,3440000
Padmanabham,1500,1,1,1,Premium,Luxury,No,No,Yes,2223375,1010625,808500,4042500
Rambilli,1500,3,1,2,Basic,Modern,No,No,No,1507000,685000,548000,2740000
Kommadi,2500,4,4,1,Premium,Modern,Yes,No,No,4118125,1871875,1497500,7487500
Bheemili,800,1,1,2,Premium,Luxury,No,No,Yes,1793000,815000,652000,3260000
Tagarapuvalasa,1500,4,2,1,Standard,Modern,No,Yes,Yes,1732500,787500,630000,3150000
Padmanabham,1800,2,1,1,Premium,Luxury,Yes,Yes,No,2657050,1207750,966200,4831000
Parawada,1500,1,4,2,Standard,Luxury,No,No,No,2035000,925000,740000,3700000
Rambilli,800,2,4,1,Basic,Normal,No,Yes,No,598400,272000,217600,1088000
Padmanabham,2000,4,1,1,Premium,Modern,Yes,Yes,No,2744500,1247500,998000,4990000
Gajuwaka,1200,2,1,1,Standard,Luxury,Yes,Yes,No,1837000,835000,668000,3340000
Atchutapuram,2000,3,3,1,Basic,Luxury,No,Yes,Yes,1914000,870000,696000,3480000
Parawada,1200,4,1,2,Standard,Normal,No,Yes,No,1463000,665000,532000,2660000
Tagarapuvalasa,1200,4,3,1,Standard,Luxury,No,No,Yes,1584000,720000,576000,2880000
Gajuwaka,2500,2,1,1,Basic,Modern,No,No,No,2530000,1150000,920000,4600000
Kommadi,1500,1,3,1,Premium,Modern,No,Yes,No,2448875,1113125,890500,4452500
Kothavalasa,1800,3,2,1,Premium,Normal,No,No,Yes,2460700,1118500,894800,4474000
Rambilli,1500,4,4,2,Standard,Modern,Yes,No,Yes,1952500,887500,710000,3550000
Tagarapuvalasa,1200,1,2,2,Standard,Modern,Yes,No,No,1749000,795000,636000,3180000
Sabbavaram,2500,2,1,1,Basic,Normal,No,Yes,Yes,2035000,925000,740000,3700000
Padmanabham,2000,4,1,1,Standard,Normal,No,No,Yes,1925000,875000,700000,3500000
Parawada,2000,4,3,1,Premium,Normal,No,Yes,Yes,2728000,1240000,992000,4960000
Rambilli,2000,3,3,1,Basic,Modern,No,No,Yes,1661000,755000,604000,3020000
Sabbavaram,1500,1,2,1,Basic,Luxury,No,Yes,No,1463000,665000,532000,2660000
Pendurthi,2500,1,4,1,Premium,Modern,Yes,No,Yes,4173125,1896875,1517500,7587500
Pendurthi,1500,1,2,1,Basic,Luxury,Yes,No,No,1771000,805000,644000,3220000
Kommadi,1200,3,3,1,Standard,Luxury,Yes,No,No,1771000,805000,644000,3220000
Gajuwaka,2000,3,4,1,Standard,Luxury,Yes,Yes,Yes,2860000,1300000,1040000,5200000
Gajuwaka,1200,4,2,2,Basic,Normal,Yes,No,Yes,1601600,728000,582400,2912000
Anandapuram,2000,2,3,1,Basic,Luxury,No,No,Yes,2090000,950000,760000,3800000
Kothavalasa,2500,4,1,1,Standard,Normal,No,No,No,2475000,1125000,900000,4500000
MVP Colony,1200,2,3,1,Standard,Luxury,No,Yes,Yes,1914000,870000,696000,3480000
Sabbavaram,2500,2,1,1,Premium,Normal,Yes,No,No,3451250,1568750,1255000,6275000
Rambilli,1800,3,4,1,Standard,Modern,No,Yes,No,1793000,815000,652000,3260000
Pendurthi,1500,2,3,1,Standard,Modern,No,Yes,No,1842500,837500,670000,3350000
Parawada,800,3,4,1,Standard,Normal,Yes,No,No,902000,410000,328000,1640000
Madhurawada,800,2,4,1,Standard,Modern,Yes,Yes,Yes,1287000,585000,468000,2340000
Kommadi,1200,4,2,1,Premium,Normal,Yes,Yes,Yes,2036100,925500,740400,3702000
Pendurthi,2500,3,3,2,Basic,Modern,No,No,No,2695000,1225000,980000,4900000
Rambilli,1200,1,2,1,Standard,Modern,No,Yes,No,1232000,560000,448000,2240000
Madhurawada,1800,2,3,1,Premium,Luxury,Yes,No,No,3458950,1572250,1257800,6289000
Tagarapuvalasa,2500,1,4,1,Basic,Modern,No,Yes,Yes,2255000,1025000,820000,4100000
Kothavalasa,1200,2,1,2,Standard,Luxury,No,Yes,No,1738000,790000,632000,3160000
Sabbavaram,1500,4,3,2,Standard,Normal,No,No,No,1760000,800000,640000,3200000
Gajuwaka,1000,1,2,2,Premium,Luxury,Yes,No,Yes,2348500,1067500,854000,4270000
Bheemili,2000,2,3,1,Standard,Modern,Yes,No,Yes,2475000,1125000,900000,4500000
Sabbavaram,800,3,3,1,Premium,Luxury,Yes,No,Yes,1509200,686000,548800,2744000
Atchutapuram,2000,1,2,1,Standard,Modern,No,Yes,Yes,2145000,975000,780000,3900000
Kothavalasa,1500,4,1,1,Basic,Normal,No,Yes,Yes,1243000,565000,452000,2260000
Sabbavaram,1200,1,2,1,Premium,Modern,Yes,No,Yes,1878800,854000,683200,3416000
Bheemili,1800,1,2,1,Premium,Modern,Yes,No,No,2893000,1315000,1052000,5260000
Tagarapuvalasa,1800,1,3,2,Basic,Modern,No,Yes,Yes,1944800,884000,707200,3536000
Bheemili,800,1,1,1,Basic,Luxury,Yes,Yes,No,1089000,495000,396000,1980000
Pendurthi,1800,2,2,1,Basic,Luxury,Yes,Yes,Yes,2103200,956000,764800,3824000
Madhurawada,1500,2,1,1,Basic,Modern,No,No,Yes,1683000,765000,612000,3060000
Rambilli,1200,2,4,1,Basic,Modern,Yes,No,Yes,1172600,533000,426400,2132000
Sabbavaram,2000,1,3,1,Premium,Modern,Yes,No,No,2893000,1315000,1052000,5260000
Atchutapuram,1200,1,3,1,Premium,Modern,Yes,No,Yes,1878800,854000,683200,3416000
Gajuwaka,1000,3,4,1,Standard,Modern,Yes,Yes,Yes,1485000,675000,540000,2700000
Kothavalasa,2500,4,3,1,Basic,Normal,No,No,Yes,2035000,925000,740000,3700000
Pendurthi,1000,3,2,1,Standard,Luxury,Yes,No,No,1540000,700000,560000,2800000
Gajuwaka,1000,2,1,1,Basic,Normal,No,Yes,Yes,1023000,465000,372000,1860000
Anandapuram,1200,2,3,1,Premium,Modern,No,No,Yes,1947000,885000,708000,3540000
Madhurawada,800,2,3,1,Premium,Modern,Yes,Yes,No,1586200,721000,576800,2884000
Bheemili,1200,2,1,2,Basic,Luxury,No,Yes,Yes,1661000,755000,604000,3020000
Padmanabham,800,2,4,1,Standard,Luxury,No,No,Yes,1078000,490000,392000,1960000
Madhurawada,1800,3,4,1,Basic,Luxury,Yes,No,Yes,2261600,1028000,822400,4112000
Sabbavaram,2000,1,2,2,Basic,Luxury,Yes,Yes,No,2244000,1020000,816000,4080000
Anandapuram,1000,2,3,2,Standard,Normal,Yes,Yes,No,1485000,675000,540000,2700000
Gajuwaka,2500,3,2,1,Standard,Luxury,Yes,Yes,Yes,3465000,1575000,1260000,6300000
Tagarapuvalasa,1500,4,3,1,Standard,Normal,No,Yes,No,1567500,712500,570000,2850000
Anandapuram,800,2,1,1,Standard,Luxury,Yes,Yes,No,1265000,575000,460000,2300000
Padmanabham,2500,4,4,2,Basic,Modern,Yes,Yes,Yes,2420000,1100000,880000,4400000
Tagarapuvalasa,2000,3,3,1,Standard,Normal,No,No,Yes,2145000,975000,780000,3900000
Kothavalasa,800,2,3,2,Premium,Luxury,Yes,Yes,No,1729200,786000,628800,3144000
Atchutapuram,2000,4,1,1,Basic,Luxury,No,Yes,No,1859000,845000,676000,3380000
Pendurthi,1800,2,3,1,Standard,Luxury,Yes,Yes,No,2464000,1120000,896000,4480000
Seethammadhara,1500,3,4,1,Standard,Luxury,Yes,Yes,Yes,2420000,1100000,880000,4400000
Seethammadhara,1000,3,3,1,Basic,Modern,No,Yes,Yes,1221000,555000,444000,2220000
Padmanabham,1200,4,1,1,Premium,Modern,Yes,No,No,1734700,788500,630800,3154000
Seethammadhara,1500,2,4,1,Premium,Modern,Yes,Yes,No,2893000,1315000,1052000,5260000
Bheemili,800,3,4,2,Standard,Normal,No,Yes,Yes,1210000,550000,440000,2200000
Rambilli,2500,2,3,1,Standard,Normal,No,No,No,2337500,1062500,850000,4250000
Madhurawada,2000,2,2,1,Premium,Luxury,Yes,No,No,3800500,1727500,1382000,6910000
Atchutapuram,1000,3,3,1,Basic,Modern,Yes,Yes,No,1012000,460000,368000,1840000
Kommadi,800,2,2,1,Basic,Normal,No,No,No,739200,336000,268800,1344000
Madhurawada,1200,3,4,1,Premium,Luxury,Yes,Yes,Yes,2489300,1131500,905200,4526000
Kothavalasa,1500,3,3,1,Standard,Luxury,Yes,Yes,No,1870000,850000,680000,3400000
Madhurawada,2500,4,1,1,Standard,Modern,Yes,Yes,No,3382500,1537500,1230000,6150000
MVP Colony,2000,1,2,1,Basic,Normal,Yes,Yes,No,2222000,1010000,808000,4040000
Gajuwaka,1200,4,2,1,Premium,Luxury,Yes,Yes,Yes,2400200,1091000,872800,4364000
Pendurthi,2000,2,2,1,Basic,Luxury,Yes,Yes,Yes,2288000,1040000,832000,4160000
Bheemili,1200,4,3,1,Basic,Luxury,No,No,Yes,1386000,630000,504000,2520000
MVP Colony,2500,2,2,1,Basic,Modern,Yes,Yes,Yes,2915000,1325000,1060000,5300000
Kommadi,1000,1,2,1,Premium,Luxury,Yes,Yes,Yes,1999250,908750,727000,3635000
MVP Colony,2000,4,2,1,Standard,Modern,No,Yes,Yes,2805000,1275000,1020000,5100000
Atchutapuram,2500,4,2,1,Premium,Luxury,Yes,No,Yes,3781250,1718750,1375000,6875000
Pendurthi,2000,2,1,1,Basic,Normal,Yes,Yes,No,1958000,890000,712000,3560000
Bheemili,1800,3,4,2,Standard,Normal,No,Yes,Yes,2310000,1050000,840000,4200000
Padmanabham,1800,3,2,1,Basic,Modern,Yes,No,Yes,1621400,737000,589600,2948000
MVP Colony,1800,1,4,1,Premium,Modern,Yes,No,No,3427600,1558000,1246400,6232000
MVP Colony,2000,4,1,1,Standard,Modern,No,No,Yes,2805000,1275000,1020000,5100000
Bheemili,2500,3,1,1,Premium,Luxury,Yes,No,Yes,4152500,1887500,1510000,7550000
Tagarapuvalasa,1500,4,2,1,Basic,Luxury,No,No,Yes,1584000,720000,576000,2880000
Kothavalasa,2500,4,3,1,Basic,Modern,No,Yes,No,2090000,950000,760000,3800000
MVP Colony,2000,4,1,1,Premium,Modern,No,Yes,Yes,3729000,1695000,1356000,6780000
Parawada,800,1,1,1,Standard,Modern,No,Yes,Yes,957000,435000,348000,1740000
Seethammadhara,1800,1,1,1,Premium,Normal,Yes,Yes,No,3317600,1508000,1206400,6032000
Bheemili,2500,3,1,1,Standard,Modern,Yes,No,Yes,3025000,1375000,1100000,5500000
MVP Colony,2000,4,1,1,Basic,Modern,Yes,No,Yes,2387000,1085000,868000,4340000
Tagarapuvalasa,1000,1,1,1,Basic,Luxury,Yes,Yes,No,1221000,555000,444000,2220000
Kothavalasa,1800,1,3,1,Basic,Modern,Yes,No,No,1645600,748000,598400,2992000
Kommadi,1800,3,4,2,Basic,Modern,Yes,Yes,Yes,2213200,1006000,804800,4024000
Seethammadhara,1000,3,1,1,Premium,Luxury,No,Yes,Yes,2112000,960000,768000,3840000
Bheemili,800,3,3,1,Standard,Modern,Yes,No,Yes,1155000,525000,420000,2100000
Pendurthi,1000,4,3,1,Basic,Luxury,Yes,No,No,1309000,595000,476000,2380000
Anandapuram,1000,2,2,1,Premium,Luxury,No,Yes,No,1760000,800000,640000,3200000
Tagarapuvalasa,1500,3,1,2,Standard,Modern,No,No,No,1952500,887500,710000,3550000
Parawada,800,2,1,2,Premium,Modern,Yes,Yes,Yes,1619200,736000,588800,2944000
Kommadi,1000,3,1,2,Standard,Normal,Yes,No,Yes,1595000,725000,580000,2900000
Rambilli,1200,4,4,2,Basic,Luxury,Yes,No,No,1557600,708000,566400,2832000
MVP Colony,1500,2,2,2,Basic,Modern,Yes,Yes,No,2079000,945000,756000,3780000
MVP Colony,1200,2,4,1,Standard,Luxury,No,Yes,Yes,1914000,870000,696000,3480000
Kothavalasa,2500,3,1,2,Premium,Modern,No,Yes,No,3726250,1693750,1355000,6775000
MVP Colony,1500,4,2,1,Basic,Modern,Yes,Yes,No,1804000,820000,656000,3280000
Bheemili,2000,3,1,1,Standard,Modern,No,Yes,Yes,2365000,1075000,860000,4300000
Gajuwaka,2000,1,4,2,Standard,Luxury,No,Yes,Yes,3025000,1375000,1100000,5500000
Seethammadhara,1000,4,4,2,Premium,Modern,No,No,No,2167000,985000,788000,3940000
Kothavalasa,1500,3,1,1,Premium,Luxury,No,Yes,No,2279750,1036250,829000,4145000
Seethammadhara,1500,4,2,1,Standard,Normal,Yes,Yes,Yes,2145000,975000,780000,3900000
Gajuwaka,2500,2,1,2,Premium,Modern,No,Yes,No,4468750,2031250,1625000,8125000
Anandapuram,2500,4,1,1,Premium,Luxury,Yes,No,No,4097500,1862500,1490000,7450000
Gajuwaka,2500,3,2,1,Basic,Modern,No,No,Yes,2585000,1175000,940000,4700000
Padmanabham,1500,3,1,1,Basic,Modern,Yes,No,Yes,1397000,635000,508000,2540000
Bheemili,800,4,3,1,Standard,Modern,No,Yes,No,990000,450000,360000,1800000
Madhurawada,1500,4,2,2,Basic,Luxury,Yes,No,No,2178000,990000,792000,3960000
Seethammadhara,2500,2,3,1,Basic,Normal,Yes,No,Yes,2805000,1275000,1020000,5100000
Rambilli,2000,1,1,1,Basic,Luxury,Yes,No,No,1881000,855000,684000,3420000
Tagarapuvalasa,1500,1,3,2,Premium,Modern,Yes,No,Yes,2666125,1211875,969500,4847500
Sabbavaram,1200,2,4,1,Basic,Normal,Yes,No,No,1060400,482000,385600,1928000
Atchutapuram,1200,2,1,1,Premium,Normal,Yes,Yes,No,1713800,779000,623200,3116000
Atchutapuram,1200,2,4,1,Premium,Modern,No,Yes,No,1713800,779000,623200,3116000
Gajuwaka,800,2,1,2,Premium,Modern,No,No,Yes,1746800,794000,635200,3176000
Madhurawada,2000,3,4,1,Basic,Luxury,Yes,No,Yes,2464000,1120000,896000,4480000
Kommadi,2000,4,4,1,Standard,Luxury,No,Yes,Yes,2640000,1200000,960000,4800000
MVP Colony,800,2,2,1,Premium,Modern,No,Yes,Yes,1590600,723000,578400,2892000
Seethammadhara,1800,4,1,1,Standard,Luxury,Yes,No,No,2761000,1255000,1004000,5020000
Kothavalasa,1800,3,4,1,Premium,Modern,No,Yes,No,2515700,1143500,914800,4574000
Bheemili,2500,2,2,1,Standard,Normal,Yes,Yes,Yes,2915000,1325000,1060000,5300000
Pendurthi,2500,3,2,1,Basic,Normal,No,No,No,2310000,1050000,840000,4200000
Parawada,1200,4,2,2,Premium,Luxury,Yes,No,Yes,2318800,1054000,843200,4216000
Atchutapuram,1200,1,3,1,Basic,Modern,No,No,No,1060400,482000,385600,1928000
Padmanabham,2500,4,3,1,Basic,Normal,No,Yes,Yes,1925000,875000,700000,3500000
Padmanabham,800,2,1,1,Standard,Luxury,Yes,No,No,1133000,515000,412000,2060000
Madhurawada,1800,2,2,2,Basic,Modern,Yes,No,Yes,2371600,1078000,862400,4312000
Kommadi,1000,3,1,1,Basic,Luxury,No,No,Yes,1254000,570000,456000,2280000
Pendurthi,1200,1,4,2,Basic,Modern,Yes,No,No,1603800,729000,583200,2916000
Madhurawada,1500,3,1,1,Standard,Modern,No,Yes,No,2007500,912500,730000,3650000
Atchutapuram,800,3,2,2,Basic,Luxury,No,No,Yes,1238600,563000,450400,2252000
Tagarapuvalasa,2000,2,3,2,Basic,Luxury,Yes,No,Yes,2387000,1085000,868000,4340000
Seethammadhara,800,1,4,1,Basic,Modern,Yes,No,Yes,1119800,509000,407200,2036000
Atchutapuram,800,1,2,1,Standard,Modern,Yes,Yes,No,1012000,460000,368000,1840000
Sabbavaram,2500,1,1,1,Standard,Modern,No,Yes,No,2585000,1175000,940000,4700000
Rambilli,1500,3,1,1,Basic,Normal,No,No,Yes,1177000,535000,428000,2140000
Rambilli,1000,3,4,2,Basic,Modern,No,Yes,Yes,1188000,540000,432000,2160000
Parawada,1000,1,2,2,Standard,Luxury,No,Yes,No,1540000,700000,560000,2800000
Parawada,1000,2,3,2,Basic,Modern,No,No,No,1177000,535000,428000,2140000
MVP Colony,2500,4,4,1,Basic,Luxury,No,Yes,No,2915000,1325000,1060000,5300000
Parawada,1500,2,3,1,Standard,Normal,No,Yes,No,1485000,675000,540000,2700000
Kothavalasa,1000,1,3,1,Premium,Modern,No,No,Yes,1501500,682500,546000,2730000
Kothavalasa,800,3,2,1,Standard,Normal,No,Yes,No,792000,360000,288000,1440000
Seethammadhara,1800,1,3,1,Basic,Modern,No,No,No,2010800,914000,731200,3656000
Padmanabham,1200,4,4,1,Premium,Luxury,No,No,No,1789700,813500,650800,3254000
Tagarapuvalasa,1200,2,1,1,Standard,Luxury,No,Yes,Yes,1584000,720000,576000,2880000
Madhurawada,1000,4,1,2,Standard,Modern,Yes,Yes,Yes,1815000,825000,660000,3300000
Kommadi,2500,4,1,1,Basic,Luxury,Yes,No,Yes,2750000,1250000,1000000,5000000
Pendurthi,1200,1,1,1,Standard,Luxury,Yes,Yes,Yes,1826000,830000,664000,3320000
MVP Colony,1200,3,3,1,Basic,Modern,Yes,Yes,Yes,1542200,701000,560800,2804000
Atchutapuram,1500,2,4,2,Basic,Luxury,Yes,Yes,No,1848000,840000,672000,3360000
Tagarapuvalasa,1800,4,4,1,Premium,Modern,Yes,No,Yes,2814350,1279250,1023400,5117000
Kommadi,2000,2,3,1,Premium,Normal,Yes,Yes,No,3228500,1467500,1174000,5870000
Sabbavaram,1000,2,4,1,Premium,Luxury,No,No,Yes,1666500,757500,606000,3030000
Parawada,1500,2,2,1,Basic,Luxury,No,Yes,No,1463000,665000,532000,2660000
Sabbavaram,2500,4,4,1,Basic,Normal,No,Yes,No,1980000,900000,720000,3600000
Parawada,800,4,2,1,Standard,Luxury,Yes,Yes,Yes,1232000,560000,448000,2240000
Seethammadhara,1500,2,1,2,Standard,Normal,No,Yes,No,2255000,1025000,820000,4100000
Madhurawada,2500,3,1,2,Basic,Modern,Yes,No,No,3025000,1375000,1100000,5500000
Kommadi,1500,1,2,1,Premium,Normal,No,Yes,No,2338875,1063125,850500,4252500
Anandapuram,2000,4,2,1,Standard,Modern,No,Yes,Yes,2365000,1075000,860000,4300000
Gajuwaka,1000,4,2,1,Standard,Modern,No,No,Yes,1375000,625000,500000,2500000
Gajuwaka,1000,2,2,1,Standard,Modern,No,No,Yes,1375000,625000,500000,2500000
Madhurawada,2000,4,2,1,Standard,Luxury,No,No,No,2805000,1275000,1020000,5100000
Atchutapuram,2500,3,2,1,Basic,Normal,Yes,Yes,No,2090000,950000,760000,3800000
MVP Colony,1000,2,2,2,Standard,Modern,No,No,No,1705000,775000,620000,3100000
Sabbavaram,2000,3,1,1,Premium,Luxury,Yes,Yes,No,3058000,1390000,1112000,5560000
Atchutapuram,1200,2,1,1,Premium,Modern,Yes,Yes,No,1823800,829000,663200,3316000
MVP Colony,2000,4,3,1,Premium,Modern,Yes,No,Yes,3839000,1745000,1396000,6980000
Sabbavaram,800,3,4,1,Premium,Luxury,No,No,No,1344200,611000,488800,2444000
Pendurthi,1200,3,1,1,Premium,Modern,No,Yes,No,1981100,900500,720400,3602000
Tagarapuvalasa,1200,1,2,2,Basic,Normal,No,Yes,Yes,1333200,606000,484800,2424000
Rambilli,1200,2,1,1,Basic,Normal,Yes,No,No,1007600,458000,366400,1832000
Madhurawada,1200,4,1,1,Basic,Normal,No,Yes,No,1214400,552000,441600,2208000
Bheemili,1800,2,3,1,Premium,Normal,Yes,No,No,2783000,1265000,1012000,5060000
Tagarapuvalasa,1200,1,2,1,Basic,Modern,Yes,No,Yes,1278200,581000,464800,2324000
Bheemili,2500,4,3,1,Standard,Luxury,No,No,No,3025000,1375000,1100000,5500000
Parawada,1000,3,2,2,Standard,Normal,Yes,Yes,No,1375000,625000,500000,2500000
Rambilli,1500,2,4,2,Premium,Luxury,No,Yes,Yes,2498375,1135625,908500,4542500
Parawada,2000,2,4,1,Premium,Luxury,Yes,Yes,No,3058000,1390000,1112000,5560000
Rambilli,800,2,4,1,Standard,Modern,Yes,No,Yes,1023000,465000,372000,1860000
Atchutapuram,1000,2,3,2,Standard,Modern,No,No,No,1375000,625000,500000,2500000
Gajuwaka,1200,1,1,1,Standard,Modern,Yes,Yes,No,1672000,760000,608000,3040000
Rambilli,1800,4,2,2,Standard,Luxury,No,No,Yes,2288000,1040000,832000,4160000
Tagarapuvalasa,2500,2,2,2,Premium,Modern,Yes,Yes,No,4021875,1828125,1462500,7312500
Rambilli,1200,1,3,1,Standard,Normal,No,Yes,Yes,1177000,535000,428000,2140000
Sabbavaram,1500,1,3,1,Premium,Luxury,Yes,No,Yes,2444750,1111250,889000,4445000
Atchutapuram,1200,4,3,1,Standard,Luxury,No,No,No,1463000,665000,532000,2660000
MVP Colony,800,4,4,1,Basic,Normal,No,Yes,Yes,899800,409000,327200,1636000
Sabbavaram,2000,3,3,1,Standard,Modern,Yes,No,Yes,2255000,1025000,820000,4100000
Tagarapuvalasa,1500,1,3,1,Basic,Luxury,No,No,Yes,1584000,720000,576000,2880000
Bheemili,800,3,1,1,Standard,Normal,No,Yes,Yes,935000,425000,340000,1700000
Bheemili,1200,3,3,1,Premium,Luxury,No,No,Yes,2112000,960000,768000,3840000
Kommadi,1800,1,1,1,Basic,Modern,Yes,Yes,Yes,1938200,881000,704800,3524000
Kommadi,1800,1,2,1,Premium,Luxury,No,Yes,No,3081650,1400750,1120600,5603000
Madhurawada,1500,3,3,1,Standard,Modern,Yes,Yes,Yes,2172500,987500,790000,3950000
Seethammadhara,800,1,2,1,Basic,Normal,No,No,No,844800,384000,307200,1536000
Bheemili,1200,4,3,1,Standard,Modern,No,Yes,No,1430000,650000,520000,2600000
Madhurawada,1800,3,3,2,Premium,Luxury,Yes,No,Yes,3788950,1722250,1377800,6889000
Madhurawada,800,3,1,1,Premium,Normal,Yes,Yes,No,1476200,671000,536800,2684000
Kothavalasa,2000,1,4,2,Standard,Luxury,No,No,Yes,2585000,1175000,940000,4700000
Seethammadhara,800,1,4,2,Premium,Normal,No,No,No,1700600,773000,618400,3092000
Gajuwaka,1000,4,3,2,Premium,Normal,No,Yes,Yes,1963500,892500,714000,3570000
Atchutapuram,1200,3,3,1,Basic,Luxury,Yes,Yes,No,1335400,607000,485600,2428000
Atchutapuram,1000,2,4,1,Basic,Modern,No,No,Yes,957000,435000,348000,1740000
Parawada,1500,4,3,1,Basic,Luxury,No,No,No,1463000,665000,532000,2660000
Tagarapuvalasa,2500,1,3,1,Standard,Modern,No,Yes,Yes,2777500,1262500,1010000,5050000
Kommadi,1800,4,2,2,Basic,Modern,Yes,Yes,No,2158200,981000,784800,3924000
Parawada,1500,4,3,1,Standard,Normal,No,No,No,1485000,675000,540000,2700000
Gajuwaka,1500,1,2,1,Basic,Normal,Yes,Yes,Yes,1617000,735000,588000,2940000
Parawada,1000,3,4,1,Basic,Luxury,No,Yes,Yes,1122000,510000,408000,2040000
Bheemili,800,1,3,1,Premium,Normal,No,No,Yes,1243000,565000,452000,2260000
Atchutapuram,800,2,4,1,Premium,Normal,No,Yes,No,1069200,486000,388800,1944000
Seethammadhara,1000,3,3,1,Standard,Luxury,No,No,No,1595000,725000,580000,2900000
Tagarapuvalasa,2000,1,3,2,Premium,Modern,Yes,Yes,Yes,3371500,1532500,1226000,6130000
Sabbavaram,1000,2,2,2,Premium,Modern,No,Yes,Yes,1776500,807500,646000,3230000
Rambilli,1800,4,1,1,Basic,Luxury,Yes,No,No,1731400,787000,629600,3148000
Gajuwaka,2500,3,1,2,Basic,Luxury,No,No,Yes,3025000,1375000,1100000,5500000
Parawada,1200,1,2,2,Premium,Modern,Yes,No,No,2098800,954000,763200,3816000
Sabbavaram,1800,3,1,2,Basic,Modern,No,No,No,1810600,823000,658400,3292000
MVP Colony,800,2,4,2,Standard,Normal,Yes,Yes,Yes,1496000,680000,544000,2720000
Kommadi,1800,3,2,2,Basic,Luxury,Yes,No,No,2323200,1056000,844800,4224000
