Location,Area_sqft,Bedrooms,Bathrooms,Floors,Material_Quality,Interior_Type,Parking,Balcony,Garden,Material_Cost,Labour_Cost,Finishing_Cost,Total_Cost
Parawada,1200,3,2,1,Premium,Normal,Yes,No,No,1713800,779000,623200,3116000
Tagarapuvalasa,1800,4,3,1,Basic,Luxury,Yes,No,Yes,1944800,884000,707200,3536000
Madhurawada,1000,4,1,1,Basic,Normal,No,No,No,1012000,460000,368000,1840000
Atchutapuram,1800,1,1,1,Standard,Modern,Yes,Yes,Yes,2057000,935000,748000,3740000
Rambilli,1200,3,1,1,Premium,Luxury,Yes,No,Yes,1954700,888500,710800,3554000
Gajuwaka,800,3,1,1,Basic,Luxury,Yes,No,No,1159400,527000,421600,2108000
Seethammadhara,1200,1,4,1,Standard,Modern,Yes,Yes,Yes,1859000,845000,676000,3380000
Seethammadhara,800,2,1,2,Basic,Modern,Yes,No,No,1339800,609000,487200,2436000
Parawada,1000,3,4,1,Standard,Normal,No,Yes,No,990000,450000,360000,1800000
Pendurthi,1000,3,3,1,Premium,Luxury,No,No,No,1834250,833750,667000,3335000
MVP Colony,1000,1,4,1,Premium,Modern,Yes,No,Yes,2057000,935000,748000,3740000
Parawada,1200,1,4,1,Premium,Luxury,No,Yes,No,1878800,854000,683200,3416000
Tagarapuvalasa,1200,3,3,1,Premium,Normal,Yes,No,No,1802900,819500,655600,3278000
Seethammadhara,800,4,2,2,Premium,Luxury,No,Yes,Yes,2030600,923000,738400,3692000
Parawada,1000,4,4,2,Basic,Normal,No,Yes,Yes,1122000,510000,408000,2040000
Sabbavaram,1200,4,4,2,Standard,Normal,No,Yes,Yes,1518000,690000,552000,2760000
Padmanabham,1500,3,4,1,Basic,Modern,No,Yes,No,1232000,560000,448000,2240000
Gajuwaka,1800,4,1,2,Standard,Luxury,Yes,Yes,No,2838000,1290000,1032000,5160000
Padmanabham,2500,1,2,1,Standard,Luxury,Yes,No,Yes,2777500,1262500,1010000,5050000
Gajuwaka,2000,3,2,1,Basic,Luxury,No,No,Yes,2266000,1030000,824000,4120000
Atchutapuram,1000,1,4,1,Basic,Luxury,Yes,No,No,1177000,535000,428000,2140000
Madhurawada,1000,3,1,1,Standard,Normal,No,Yes,Yes,1320000,600000,480000,2400000
MVP Colony,1000,3,4,2,Premium,Normal,Yes,No,No,2167000,985000,788000,3940000
Seethammadhara,1800,1,1,1,Standard,Normal,No,Yes,Yes,2431000,1105000,884000,4420000
Sabbavaram,2000,2,1,2,Basic,Luxury,Yes,No,Yes,2299000,1045000,836000,4180000
Madhurawada,1800,2,4,2,Premium,Modern,No,No,Yes,3513950,1597250,1277800,6389000
Padmanabham,2000,1,2,2,Premium,Normal,Yes,No,No,2909500,1322500,1058000,5290000
Pendurthi,1500,4,1,1,Premium,Luxury,Yes,No,Yes,2778875,1263125,1010500,5052500
Parawada,2500,3,1,1,Premium,Luxury,Yes,Yes,No,3726250,1693750,1355000,6775000
Seethammadhara,1000,2,4,1,Standard,Modern,No,Yes,No,1430000,650000,520000,2600000
Anandapuram,1800,1,2,1,Premium,Luxury,No,No,Yes,3003000,1365000,1092000,5460000
Tagarapuvalasa,1500,4,1,1,Standard,Modern,No,No,No,1677500,762500,610000,3050000
MVP Colony,1800,1,1,1,Basic,Modern,Yes,Yes,No,2120800,964000,771200,3856000
Gajuwaka,2500,1,1,1,Premium,Normal,No,No,Yes,4138750,1881250,1505000,7525000
Atchutapuram,800,2,3,1,Standard,Luxury,Yes,No,Yes,1232000,560000,448000,2240000
Kommadi,1200,2,2,1,Basic,Luxury,Yes,Yes,Yes,1548800,704000,563200,2816000
MVP Colony,2500,3,4,1,Standard,Modern,Yes,Yes,No,3520000,1600000,1280000,6400000
Pendurthi,1000,4,3,2,Standard,Modern,No,No,Yes,1595000,725000,580000,2900000
Bheemili,1500,3,3,2,Basic,Normal,No,Yes,Yes,1650000,750000,600000,3000000
Parawada,2500,3,3,1,Premium,Modern,No,Yes,No,3451250,1568750,1255000,6275000
Bheemili,1500,2,2,1,Basic,Luxury,No,No,No,1595000,725000,580000,2900000
Kommadi,1000,2,3,2,Basic,Luxury,No,No,Yes,1529000,695000,556000,2780000
Anandapuram,1200,3,1,1,Standard,Modern,Yes,Yes,Yes,1595000,725000,580000,2900000
Rambilli,2500,1,4,2,Basic,Normal,No,No,Yes,2200000,1000000,800000,4000000
Seethammadhara,1200,2,2,2,Standard,Luxury,Yes,Yes,Yes,2299000,1045000,836000,4180000
Padmanabham,1500,1,2,2,Standard,Normal,Yes,No,Yes,1842500,837500,670000,3350000
Tagarapuvalasa,800,1,2,1,Premium,Normal,No,No,No,1128600,513000,410400,2052000
Kothavalasa,1200,4,1,1,Standard,Normal,No,No,Yes,1243000,565000,452000,2260000
MVP Colony,1200,4,2,1,Basic,Luxury,Yes,Yes,No,1652200,751000,600800,3004000
Madhurawada,1200,4,4,1,Basic,Luxury,Yes,No,No,1599400,727000,581600,2908000
Seethammadhara,800,4,1,1,Basic,Modern,No,No,Yes,1009800,459000,367200,1836000
Atchutapuram,2500,1,2,1,Standard,Luxury,Yes,No,Yes,2915000,1325000,1060000,5300000
Tagarapuvalasa,1000,2,3,1,Premium,Luxury,No,No,No,1685750,766250,613000,3065000
Kothavalasa,2500,2,4,2,Basic,Modern,No,Yes,Yes,2420000,1100000,880000,4400000
Padmanabham,1200,1,3,1,Standard,Normal,No,Yes,Yes,1177000,535000,428000,2140000
Bheemili,2000,1,3,1,Basic,Normal,No,Yes,Yes,1815000,825000,660000,3300000
Anandapuram,800,2,1,1,Standard,Luxury,No,Yes,Yes,1210000,550000,440000,2200000
Atchutapuram,2000,1,1,2,Standard,Luxury,No,No,Yes,2585000,1175000,940000,4700000
Atchutapuram,2500,1,1,2,Basic,Normal,No,Yes,Yes,2310000,1050000,840000,4200000
Bheemili,1800,4,3,1,Basic,Normal,No,No,Yes,1639000,745000,596000,2980000
Kothavalasa,1500,3,2,1,Premium,Modern,Yes,No,Yes,2279750,1036250,829000,4145000
Sabbavaram,800,1,2,2,Basic,Normal,No,No,Yes,963600,438000,350400,1752000
Kommadi,2500,4,1,2,Basic,Luxury,No,No,No,2860000,1300000,1040000,5200000
Tagarapuvalasa,1000,4,2,1,Basic,Normal,No,No,No,836000,380000,304000,1520000
Padmanabham,800,4,1,1,Standard,Luxury,Yes,No,No,1133000,515000,412000,2060000
Pendurthi,2000,2,1,1,Premium,Luxury,Yes,Yes,No,3503500,1592500,1274000,6370000
Padmanabham,1000,4,3,1,Standard,Luxury,Yes,Yes,Yes,1375000,625000,500000,2500000
MVP Colony,2500,4,4,1,Standard,Luxury,No,Yes,Yes,3630000,1650000,1320000,6600000
Padmanabham,1200,1,2,1,Standard,Modern,No,No,No,1232000,560000,448000,2240000
Kothavalasa,2500,4,1,1,Basic,Modern,Yes,Yes,Yes,2255000,1025000,820000,4100000
Sabbavaram,1500,4,2,1,Premium,Modern,Yes,No,Yes,2279750,1036250,829000,4145000
Anandapuram,2500,1,3,1,Basic,Luxury,Yes,Yes,Yes,2640000,1200000,960000,4800000
MVP Colony,1000,1,2,2,Standard,Normal,No,No,No,1595000,725000,580000,2900000
Parawada,2000,3,2,1,Premium,Modern,No,No,No,2783000,1265000,1012000,5060000
Padmanabham,1000,2,2,1,Basic,Normal,Yes,Yes,No,858000,390000,312000,1560000
Madhurawada,2500,1,2,1,Standard,Modern,No,Yes,No,3272500,1487500,1190000,5950000
Bheemili,2500,3,3,2,Basic,Normal,Yes,Yes,No,2585000,1175000,940000,4700000
Atchutapuram,1500,2,2,1,Premium,Modern,No,No,Yes,2169750,986250,789000,3945000
Madhurawada,1000,4,4,1,Basic,Luxury,No,No,No,1287000,585000,468000,2340000
Kothavalasa,800,4,4,1,Basic,Modern,Yes,Yes,Yes,908600,413000,330400,1652000
Parawada,2500,4,2,1,Premium,Normal,No,Yes,No,3341250,1518750,1215000,6075000
Gajuwaka,1800,2,1,2,Basic,Modern,No,Yes,No,2127400,967000,773600,3868000
Rambilli,800,4,4,1,Premium,Modern,Yes,No,No,1229800,559000,447200,2236000
Rambilli,800,4,3,1,Premium,Modern,Yes,Yes,Yes,1284800,584000,467200,2336000
Kothavalasa,1500,4,1,1,Premium,Modern,No,Yes,No,2114750,961250,769000,3845000
Bheemili,1800,1,4,1,Basic,Modern,Yes,No,No,1804000,820000,656000,3280000
Bheemili,2500,1,3,1,Premium,Normal,Yes,No,Yes,3877500,1762500,1410000,7050000
Sabbavaram,1500,2,2,1,Premium,Modern,Yes,Yes,No,2224750,1011250,809000,4045000
MVP Colony,2000,2,2,1,Standard,Normal,Yes,Yes,No,2750000,1250000,1000000,5000000
Pendurthi,1000,1,1,1,Basic,Modern,No,No,No,1034000,470000,376000,1880000
Seethammadhara,2000,2,3,2,Standard,Normal,Yes,Yes,Yes,3080000,1400000,1120000,5600000
Kommadi,2000,1,1,1,Premium,Modern,Yes,Yes,Yes,3393500,1542500,1234000,6170000
Atchutapuram,1800,4,2,2,Standard,Normal,Yes,Yes,No,2167000,985000,788000,3940000
Sabbavaram,1000,2,2,2,Basic,Modern,Yes,No,No,1287000,585000,468000,2340000
MVP Colony,1200,2,3,1,Standard,Luxury,Yes,Yes,Yes,2024000,920000,736000,3680000
Bheemili,1800,2,4,1,Basic,Luxury,Yes,Yes,No,1969000,895000,716000,3580000
MVP Colony,2500,3,1,1,Premium,Luxury,No,Yes,No,4730000,2150000,1720000,8600000
Sabbavaram,2000,3,4,1,Premium,Luxury,Yes,No,No,3058000,1390000,1112000,5560000
Bheemili,800,4,2,1,Standard,Normal,Yes,Yes,Yes,1045000,475000,380000,1900000
MVP Colony,2000,3,1,1,Basic,Normal,No,No,Yes,2167000,985000,788000,3940000
MVP Colony,2500,4,3,1,Basic,Luxury,No,Yes,No,2915000,1325000,1060000,5300000
Parawada,1500,4,1,1,Standard,Normal,Yes,Yes,No,1595000,725000,580000,2900000
MVP Colony,1200,4,2,2,Premium,Normal,No,No,No,2413400,1097000,877600,4388000
MVP Colony,1000,4,1,2,Premium,Normal,No,No,No,2057000,935000,748000,3740000
Rambilli,1200,2,2,1,Basic,Luxury,No,Yes,Yes,1227600,558000,446400,2232000
Kothavalasa,1200,3,2,1,Basic,Normal,Yes,Yes,Yes,1115400,507000,405600,2028000
Kothavalasa,2500,4,3,1,Standard,Modern,No,Yes,No,2585000,1175000,940000,4700000
Atchutapuram,1800,2,3,1,Basic,Modern,No,Yes,No,1535600,698000,558400,2792000
Padmanabham,1500,2,4,1,Standard,Normal,No,Yes,Yes,1457500,662500,530000,2650000
Sabbavaram,1200,3,3,1,Basic,Luxury,No,Yes,Yes,1280400,582000,465600,2328000
Kommadi,800,1,3,1,Standard,Modern,No,No,No,1034000,470000,376000,1880000
Parawada,800,4,2,1,Premium,Normal,Yes,Yes,Yes,1234200,561000,448800,2244000
Rambilli,1500,2,4,2,Premium,Luxury,No,Yes,Yes,2498375,1135625,908500,4542500
Madhurawada,2000,2,4,1,Premium,Normal,Yes,Yes,No,3525500,1602500,1282000,6410000
Gajuwaka,2000,4,4,1,Standard,Normal,Yes,No,No,2530000,1150000,920000,4600000
Sabbavaram,1500,2,4,2,Premium,Modern,Yes,Yes,No,2499750,1136250,909000,4545000
Sabbavaram,1000,3,2,1,Standard,Luxury,No,Yes,Yes,1320000,600000,480000,2400000
Pendurthi,2500,2,4,1,Premium,Luxury,No,Yes,No,4173125,1896875,1517500,7587500
Rambilli,1000,3,4,1,Basic,Luxury,No,No,No,1023000,465000,372000,1860000
Atchutapuram,1200,1,1,1,Premium,Modern,Yes,No,Yes,1878800,854000,683200,3416000
Kothavalasa,2500,2,2,1,Basic,Normal,No,Yes,No,1980000,900000,720000,3600000
Kommadi,1500,4,2,1,Basic,Modern,No,No,No,1496000,680000,544000,2720000
Anandapuram,2000,3,1,1,Premium,Normal,Yes,No,No,3080000,1400000,1120000,5600000
Kothavalasa,2500,4,1,1,Basic,Luxury,No,No,Yes,2310000,1050000,840000,4200000
Pendurthi,2000,4,1,1,Standard,Modern,Yes,No,Yes,2585000,1175000,940000,4700000
Pendurthi,1500,2,1,2,Premium,Luxury,No,Yes,Yes,2943875,1338125,1070500,5352500
Bheemili,2000,1,3,1,Premium,Normal,No,Yes,No,2970000,1350000,1080000,5400000
Kommadi,800,2,3,1,Basic,Normal,Yes,Yes,No,849200,386000,308800,1544000
MVP Colony,2000,2,3,2,Premium,Luxury,No,No,Yes,4169000,1895000,1516000,7580000
Tagarapuvalasa,1500,1,4,1,Standard,Luxury,No,Yes,No,1842500,837500,670000,3350000
Kommadi,2000,1,3,1,Standard,Normal,Yes,No,No,2420000,1100000,880000,4400000
Tagarapuvalasa,2000,3,4,1,Basic,Luxury,Yes,Yes,No,2057000,935000,748000,3740000
Atchutapuram,800,4,4,1,Premium,Modern,No,Yes,Yes,1234200,561000,448800,2244000
Padmanabham,1200,4,2,1,Standard,Modern,Yes,Yes,No,1342000,610000,488000,2440000
Padmanabham,1500,4,3,1,Basic,Luxury,No,No,Yes,1452000,660000,528000,2640000
Anandapuram,1500,3,2,2,Standard,Modern,No,Yes,No,2035000,925000,740000,3700000
Rambilli,1200,1,4,1,Basic,Luxury,Yes,Yes,No,1282600,583000,466400,2332000
Gajuwaka,1000,2,4,2,Premium,Modern,No,No,Yes,2073500,942500,754000,3770000
Bheemili,2000,4,2,2,Standard,Luxury,Yes,Yes,No,2860000,1300000,1040000,5200000
Parawada,1500,3,1,1,Basic,Luxury,Yes,Yes,Yes,1628000,740000,592000,2960000
Seethammadhara,2000,4,1,1,Standard,Normal,No,No,Yes,2695000,1225000,980000,4900000
Rambilli,2500,3,2,2,Standard,Modern,No,Yes,Yes,2777500,1262500,1010000,5050000
Rambilli,2500,1,4,1,Premium,Luxury,Yes,Yes,No,3540625,1609375,1287500,6437500
MVP Colony,1000,4,2,1,Standard,Modern,No,No,No,1430000,650000,520000,2600000
MVP Colony,800,3,4,1,Standard,Normal,No,No,No,1056000,480000,384000,1920000
Tagarapuvalasa,1500,2,4,1,Premium,Normal,Yes,Yes,Yes,2281125,1036875,829500,4147500
Rambilli,1200,4,3,2,Premium,Modern,No,No,Yes,1954700,888500,710800,3554000
Rambilli,1200,4,2,2,Premium,Luxury,Yes,Yes,Yes,2229700,1013500,810800,4054000
Kommadi,1200,3,2,1,Basic,Modern,Yes,No,Yes,1383800,629000,503200,2516000
Seethammadhara,1800,1,2,1,Premium,Luxury,Yes,No,Yes,3647600,1658000,1326400,6632000
Rambilli,800,1,1,1,Basic,Luxury,Yes,No,Yes,1038400,472000,377600,1888000
Bheemili,1800,1,3,2,Standard,Luxury,No,Yes,Yes,2585000,1175000,940000,4700000
Bheemili,2000,4,4,2,Premium,Modern,Yes,Yes,Yes,3520000,1600000,1280000,6400000
Pendurthi,2000,3,3,1,Premium,Normal,Yes,Yes,No,3228500,1467500,1174000,5870000
Parawada,1500,2,4,1,Standard,Modern,Yes,No,No,1705000,775000,620000,3100000
Madhurawada,1500,4,1,1,Basic,Modern,No,Yes,No,1628000,740000,592000,2960000
Madhurawada,1800,1,3,1,Premium,Luxury,Yes,Yes,Yes,3513950,1597250,1277800,6389000
Parawada,1200,4,2,1,Standard,Normal,No,Yes,Yes,1243000,565000,452000,2260000
Atchutapuram,1200,4,4,1,Premium,Luxury,Yes,No,No,1988800,904000,723200,3616000
Kommadi,2500,1,4,2,Premium,Normal,Yes,Yes,Yes,4338125,1971875,1577500,7887500
Atchutapuram,2500,4,4,1,Premium,Luxury,Yes,Yes,No,3726250,1693750,1355000,6775000
Anandapuram,1200,3,2,1,Basic,Normal,No,Yes,Yes,1111000,505000,404000,2020000
MVP Colony,1000,1,2,1,Standard,Luxury,Yes,No,Yes,1760000,800000,640000,3200000
Padmanabham,2000,1,3,1,Premium,Luxury,Yes,Yes,Yes,2964500,1347500,1078000,5390000
Gajuwaka,1000,1,1,2,Standard,Normal,No,Yes,No,1485000,675000,540000,2700000
Parawada,800,4,4,1,Standard,Luxury,No,Yes,Yes,1122000,510000,408000,2040000
Madhurawada,1500,3,4,1,Standard,Modern,Yes,Yes,Yes,2172500,987500,790000,3950000
Anandapuram,2500,3,4,2,Standard,Modern,Yes,No,Yes,3300000,1500000,1200000,6000000
Madhurawada,2000,1,1,1,Basic,Luxury,No,Yes,No,2299000,1045000,836000,4180000
Bheemili,1000,1,4,1,Premium,Luxury,No,No,No,1760000,800000,640000,3200000
Atchutapuram,1800,3,2,1,Standard,Modern,Yes,No,No,2002000,910000,728000,3640000
Anandapuram,1200,2,1,2,Basic,Modern,No,No,Yes,1496000,680000,544000,2720000
Atchutapuram,1200,1,3,1,Premium,Normal,Yes,No,Yes,1768800,804000,643200,3216000
Kothavalasa,2000,4,1,1,Basic,Modern,Yes,Yes,Yes,1859000,845000,676000,3380000
Bheemili,2000,3,1,1,Basic,Normal,Yes,Yes,No,1870000,850000,680000,3400000
Sabbavaram,1200,1,4,1,Standard,Normal,Yes,Yes,No,1298000,590000,472000,2360000
Madhurawada,2000,2,3,1,Standard,Normal,Yes,No,Yes,2695000,1225000,980000,4900000
Bheemili,2000,3,3,1,Standard,Normal,Yes,Yes,Yes,2365000,1075000,860000,4300000
Atchutapuram,800,3,4,1,Basic,Normal,No,Yes,No,633600,288000,230400,1152000
Kothavalasa,800,4,4,2,Standard,Modern,No,No,Yes,1232000,560000,448000,2240000
Tagarapuvalasa,2500,3,4,1,Standard,Modern,Yes,No,No,2832500,1287500,1030000,5150000
Kommadi,1800,4,4,2,Standard,Modern,No,Yes,No,2464000,1120000,896000,4480000
Kothavalasa,2000,2,4,1,Basic,Normal,Yes,No,No,1694000,770000,616000,3080000
Gajuwaka,1800,1,4,1,Basic,Luxury,Yes,Yes,No,2127400,967000,773600,3868000
Seethammadhara,800,3,3,1,Standard,Normal,Yes,No,Yes,1221000,555000,444000,2220000
Kommadi,800,4,2,1,Premium,Luxury,No,Yes,Yes,1577400,717000,573600,2868000
MVP Colony,1800,1,2,2,Standard,Luxury,No,No,Yes,2981000,1355000,1084000,5420000
Parawada,1000,1,2,2,Basic,Normal,Yes,Yes,Yes,1232000,560000,448000,2240000
Bheemili,1000,4,2,2,Basic,Modern,Yes,Yes,No,1375000,625000,500000,2500000
MVP Colony,1200,4,4,1,Premium,Luxury,No,Yes,Yes,2468400,1122000,897600,4488000
Sabbavaram,1800,3,1,1,Standard,Modern,Yes,No,No,2002000,910000,728000,3640000
Sabbavaram,1200,4,1,1,Standard,Normal,No,No,Yes,1243000,565000,452000,2260000
Gajuwaka,1200,3,3,1,Premium,Luxury,Yes,No,No,2345200,1066000,852800,4264000
Sabbavaram,1200,2,3,1,Basic,Modern,Yes,No,No,1170400,532000,425600,2128000
Tagarapuvalasa,1000,1,4,1,Standard,Normal,No,Yes,Yes,1100000,500000,400000,2000000
Sabbavaram,1200,2,2,2,Basic,Modern,No,No,Yes,1390400,632000,505600,2528000
Parawada,2500,3,3,1,Standard,Modern,No,Yes,Yes,2640000,1200000,960000,4800000
Kommadi,1000,3,4,1,Basic,Modern,No,No,No,1034000,470000,376000,1880000
Parawada,1800,2,1,1,Basic,Modern,No,No,Yes,1590600,723000,578400,2892000
Kommadi,2000,2,2,1,Standard,Luxury,Yes,No,Yes,2750000,1250000,1000000,5000000
Atchutapuram,1000,1,2,1,Premium,Modern,No,No,Yes,1501500,682500,546000,2730000
Pendurthi,1800,1,1,1,Premium,Normal,No,Yes,No,2806650,1275750,1020600,5103000
Rambilli,2500,4,4,1,Premium,Normal,Yes,No,No,3265625,1484375,1187500,5937500
Rambilli,1800,1,1,1,Basic,Modern,No,No,Yes,1511400,687000,549600,2748000
Gajuwaka,1800,4,4,1,Premium,Modern,No,Yes,Yes,3105300,1411500,1129200,5646000
Gajuwaka,1000,2,2,1,Basic,Luxury,Yes,No,Yes,1408000,640000,512000,2560000
MVP Colony,1200,3,4,1,Premium,Modern,Yes,No,Yes,2413400,1097000,877600,4388000
Tagarapuvalasa,2500,1,4,1,Premium,Normal,No,Yes,Yes,3581875,1628125,1302500,6512500
Kommadi,1800,3,3,1,Premium,Luxury,Yes,Yes,Yes,3246650,1475750,1180600,5903000
Madhurawada,2500,3,4,1,Premium,Modern,Yes,No,No,4489375,2040625,1632500,8162500
MVP Colony,800,4,4,1,Premium,Modern,Yes,Yes,No,1645600,748000,598400,2992000
Kommadi,2500,3,3,1,Basic,Normal,Yes,No,No,2420000,1100000,880000,4400000
Sabbavaram,2000,4,2,1,Basic,Luxury,No,No,No,1859000,845000,676000,3380000
Atchutapuram,2000,3,4,1,Basic,Normal,No,No,Yes,1639000,745000,596000,2980000
Gajuwaka,1000,1,4,1,Standard,Modern,No,No,Yes,1375000,625000,500000,2500000
Bheemili,1200,3,1,1,Premium,Normal,Yes,No,No,1892000,860000,688000,3440000
Madhurawada,1800,4,3,1,Standard,Luxury,No,Yes,Yes,2607000,1185000,948000,4740000
MVP Colony,1200,1,4,1,Standard,Luxury,Yes,No,Yes,2024000,920000,736000,3680000
Tagarapuvalasa,1200,2,2,2,Standard,Modern,No,Yes,Yes,1694000,770000,616000,3080000
Pendurthi,1800,2,1,2,Basic,Modern,No,Yes,Yes,2103200,956000,764800,3824000
Pendurthi,1800,3,3,1,Premium,Luxury,Yes,Yes,No,3191650,1450750,1160600,5803000
Madhurawada,1800,2,2,1,Standard,Normal,No,Yes,No,2277000,1035000,828000,4140000
Madhurawada,1800,3,4,2,Standard,Normal,No,No,Yes,2607000,1185000,948000,4740000
Pendurthi,800,1,2,2,Premium,Luxury,Yes,Yes,No,1907400,867000,693600,3468000
Kothavalasa,800,3,2,1,Standard,Normal,Yes,No,Yes,957000,435000,348000,1740000
Bheemili,1800,1,2,2,Basic,Normal,No,No,Yes,1914000,870000,696000,3480000
Pendurthi,2500,2,4,2,Premium,Normal,Yes,No,No,4283125,1946875,1557500,7787500
Sabbavaram,1200,2,1,1,Premium,Luxury,Yes,No,Yes,2043800,929000,743200,3716000
Parawada,800,1,2,2,Standard,Normal,No,No,No,1067000,485000,388000,1940000
Madhurawada,2500,3,1,1,Standard,Normal,No,Yes,No,3162500,1437500,1150000,5750000
Atchutapuram,1800,1,2,2,Premium,Modern,No,Yes,No,2790700,1268500,1014800,5074000
Madhurawada,2500,3,4,2,Basic,Normal,Yes,Yes,Yes,2970000,1350000,1080000,5400000
Tagarapuvalasa,2000,2,2,2,Premium,Luxury,No,No,Yes,3426500,1557500,1246000,6230000
Seethammadhara,1200,2,4,2,Premium,Normal,No,No,Yes,2468400,1122000,897600,4488000
Pendurthi,1500,1,2,1,Basic,Luxury,Yes,No,No,1771000,805000,644000,3220000
Parawada,800,4,4,1,Basic,Normal,Yes,No,Yes,798600,363000,290400,1452000
Tagarapuvalasa,800,1,2,1,Premium,Modern,No,Yes,No,1238600,563000,450400,2252000
Sabbavaram,1000,2,3,1,Standard,Normal,No,Yes,Yes,1045000,475000,380000,1900000
Atchutapuram,2500,4,4,1,Standard,Normal,Yes,No,Yes,2640000,1200000,960000,4800000
Kommadi,800,4,4,1,Basic,Modern,Yes,No,Yes,1014200,461000,368800,1844000
Madhurawada,1200,3,2,1,Premium,Normal,No,No,Yes,2104300,956500,765200,3826000
Tagarapuvalasa,800,3,3,1,Premium,Modern,No,Yes,No,1238600,563000,450400,2252000
Tagarapuvalasa,1500,4,2,1,Standard,Luxury,No,Yes,Yes,1897500,862500,690000,3450000
Padmanabham,1200,3,2,2,Standard,Normal,Yes,No,Yes,1562000,710000,568000,2840000
Gajuwaka,1800,4,3,1,Premium,Normal,Yes,No,No,3050300,1386500,1109200,5546000
Kommadi,2500,4,4,1,Basic,Luxury,No,Yes,No,2585000,1175000,940000,4700000
Anandapuram,1000,2,3,2,Basic,Luxury,Yes,Yes,Yes,1595000,725000,580000,2900000
Rambilli,800,1,2,1,Basic,Modern,Yes,Yes,Yes,873400,397000,317600,1588000
Tagarapuvalasa,1500,2,4,1,Standard,Modern,Yes,Yes,Yes,1842500,837500,670000,3350000
Sabbavaram,2000,2,1,1,Premium,Normal,No,No,Yes,2728000,1240000,992000,4960000
